126:[G, D, D, B, G, H, G, G, B, D, H, D, B, H, D, H, H, H, H, G]
983:[D, G, B, G, D, D, G, G, B, B, B, G, H, H, H, G, H, H, D, D]
744:[D, G, B, G, D, D, G, G, B, B, B, B, H, H, H, G, H, H, D, D]
592:[H, D, D, B, G, D, B, G, B, D, D, H, D, G, G, D, B, B, G, H]
411:[H, D, D, B, G, D, B, G, B, D, D, H, D, G, G, D, B, B, G, G]
607:[D, B, H, B, B, D, H, B, H, D, H, H, H, G, H, D, H, G, G, B]
693:[D, G, H, B, B, H, D, G, B, H, H, D, B, H, H, D, G, H, D, H]
362:[D, G, H, B, B, H, D, G, B, H, H, H, B, H, H, D, G, H, D, H]
942:[D, H, B, D, B, H, D, B, G, G, G, D, H, H, B, G, H, G, H, H]
685:[D, H, G, D, B, H, D, G, G, D, G, D, H, H, B, G, H, G, H, H]
826:[G, H, H, B, D, G, D, H, D, D, B, G, D, H, G, D, D, G, D, D]
163:[G, G, H, B, D, G, D, H, D, D, B, G, D, H, G, D, D, G, D, D]
695:[G, B, D, B, G, B, H, B, B, B, H, D, B, D, G, G, B, G, D, B]
102:[B, D, H, B, G, B, D, G, D, B, B, G, D, H, B, B, D, G, G, B]
139:[D, D, H, B, G, B, D, G, D, B, B, G, D, H, B, B, D, G, G, B]
314:[D, D, B, G, B, G, D, D, G, G, B, B, H, G, G, G, G, D, G, G]
305:[G, D, B, B, B, G, D, D, G, G, B, B, H, G, G, G, G, D, G, G]
149:[G, H, H, D, G, H, B, H, D, H, B, B, G, D, B, G, G, B, B, G]
71:[D, D, B, H, B, B, G, B, D, B, G, G, D, G, D, H, G, B, D, B]
241:[G, G, B, H, B, B, B, D, G, D, H, H, D, D, B, G, B, B, B, B]
350:[B, H, D, H, G, B, H, B, B, D, H, H, D, D, G, H, G, G, G, G]
492:[B, H, B, H, G, B, H, B, B, D, H, H, D, D, G, H, G, G, G, G]
574:[G, D, G, G, G, G, D, D, H, B, D, H, D, H, B, H, D, B, B, D]
427:[G, D, G, G, G, G, D, D, H, B, D, H, D, H, H, H, D, B, B, D]
312:[G, H, B, B, D, H, D, B, D, D, G, H, G, D, G, H, D, H, G, H]
728:[H, G, G, B, G, G, B, H, D, D, B, B, H, B, G, D, H, D, D, D]
271:[B, H, G, D, G, D, B, D, H, H, B, G, B, B, H, D, B, B, D, B]
317:[B, D, H, G, G, G, D, G, B, H, H, H, D, H, H, H, D, B, B, D]
18:[G, D, H, G, G, G, D, G, B, H, H, H, H, H, H, H, D, B, B, D]
904:[G, D, G, D, H, G, H, D, B, B, D, G, G, G, D, G, D, B, B, B]
34:[B, G, G, D, D, B, B, B, G, B, D, G, H, H, G, B, B, G, G, B]
485:[D, B, H, B, B, B, B, D, G, D, H, H, H, B, B, D, H, G, G, D]
858:[D, B, H, B, B, D, B, D, G, D, H, H, H, B, B, D, H, G, G, D]
262:[B, D, G, G, H, G, B, B, H, D, B, G, D, H, G, B, H, H, H, H]
806:[D, D, B, B, G, G, B, D, D, B, B, G, D, H, B, B, D, H, B, D]
486:[G, B, D, B, G, H, H, G, H, G, D, B, H, B, H, H, D, B, H, B]
963:[G, B, H, B, G, H, H, G, H, G, D, B, H, B, H, H, D, B, H, B]
400:[G, H, B, B, B, G, D, B, G, H, H, D, G, H, B, G, D, H, D, B]
438:[H, D, D, B, B, D, B, G, B, D, D, H, H, G, G, G, B, B, G, G]
339:[G, D, G, D, D, B, B, B, G, B, G, G, H, H, D, B, B, G, G, B]
517:[B, D, G, D, H, H, G, B, D, B, D, G, H, H, H, G, H, H, D, H]
136:[G, B, B, B, D, H, B, D, G, D, B, H, G, G, B, B, H, H, D, G]
467:[G, D, B, G, G, G, B, B, H, D, B, D, D, G, G, D, G, D, G, B]
