f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[B, G, H, D, D, H, H, G, H, G]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[H, B, H, H, H, G, G, B, D, D]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[H, D, D, H, G, G, H, G, G, D]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[H, H, H, D, D, G, B, B, B, B]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[H, H, D, H, G, B, D, H, D, B]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[B, H, H, H, H, D, B, D, G, D]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[H, H, G, G, H, D, B, G, B, B]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[H, H, H, D, B, D, H, B, H, G]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[D, G, H, G, G, H, H, D, D, G]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[H, B, D, D, H, G, H, G, H, B]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[H, H, H, D, D, G, B, H, G, B]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[H, H, H, D, B, B, B, D, G, B]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[H, B, H, D, H, G, D, H, G, G]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[H, H, H, G, B, D, B, B, B, G]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[H, H, G, G, D, D, H, G, D, G]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[B, H, H, H, H, B, B, B, D, D]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[G, H, H, H, H, D, B, G, G, H]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[G, H, H, D, H, B, B, B, B, H]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[H, H, H, D, B, D, B, G, H, H]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[G, D, H, G, G, H, D, D, D, G]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[H, H, D, B, H, H, G, B, H, B]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[G, H, G, H, H, D, B, B, B, H]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[H, B, B, H, H, D, G, H, D, B]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[D, G, D, H, H, H, B, H, G, G]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[G, D, B, H, H, G, D, H, G, G]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[D, G, H, G, H, H, G, B, H, B]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[D, G, H, H, B, H, G, G, D, H]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[H, D, G, H, G, B, H, H, D, B]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[H, H, H, D, B, D, G, D, G, H]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[H, G, G, H, D, H, B, H, G, B]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[H, H, H, D, B, D, B, G, B, B]
f9ed6762-4f13-4b9b-bb97-e0d079fab9e0:[D, G, D, H, H, D, H, G, B, G]
