3559948a-8233-4b01-8c89-2694df301a11:[G, H, D, D, H, H, D, B, G, H]
3559948a-8233-4b01-8c89-2694df301a11:[H, B, B, H, D, H, H, H, G, G]
3559948a-8233-4b01-8c89-2694df301a11:[H, D, G, G, D, D, H, H, G, G]
3559948a-8233-4b01-8c89-2694df301a11:[H, D, G, G, D, D, H, G, G, B]
3559948a-8233-4b01-8c89-2694df301a11:[H, D, D, B, G, B, D, G, G, H]
3559948a-8233-4b01-8c89-2694df301a11:[H, D, G, G, D, B, B, H, B, H]
3559948a-8233-4b01-8c89-2694df301a11:[B, D, H, H, D, G, G, H, G, H]
3559948a-8233-4b01-8c89-2694df301a11:[B, D, H, H, D, B, H, H, G, B]
3559948a-8233-4b01-8c89-2694df301a11:[D, G, H, G, D, D, G, H, D, G]
3559948a-8233-4b01-8c89-2694df301a11:[D, D, H, G, H, G, B, D, D, H]
3559948a-8233-4b01-8c89-2694df301a11:[H, D, H, D, D, B, B, B, D, H]
3559948a-8233-4b01-8c89-2694df301a11:[H, D, H, B, D, B, H, G, G, H]
3559948a-8233-4b01-8c89-2694df301a11:[H, D, B, B, H, D, D, G, H, H]
3559948a-8233-4b01-8c89-2694df301a11:[G, D, H, D, H, B, G, D, B, B]
3559948a-8233-4b01-8c89-2694df301a11:[H, D, B, B, G, H, D, D, G, B]
3559948a-8233-4b01-8c89-2694df301a11:[H, D, B, D, D, G, G, H, G, G]
3559948a-8233-4b01-8c89-2694df301a11:[D, H, D, D, G, H, D, G, D, G]
3559948a-8233-4b01-8c89-2694df301a11:[D, B, H, G, D, H, H, B, G, H]
3559948a-8233-4b01-8c89-2694df301a11:[D, D, H, G, H, G, G, H, D, B]
3559948a-8233-4b01-8c89-2694df301a11:[D, D, G, G, H, G, B, D, D, H]
3559948a-8233-4b01-8c89-2694df301a11:[D, H, D, G, D, D, B, H, G, H]
3559948a-8233-4b01-8c89-2694df301a11:[D, D, H, G, H, G, B, D, D, G]
3559948a-8233-4b01-8c89-2694df301a11:[H, G, H, B, H, D, H, D, B, H]
3559948a-8233-4b01-8c89-2694df301a11:[B, B, D, D, H, G, H, D, H, H]
3559948a-8233-4b01-8c89-2694df301a11:[H, D, H, D, D, H, B, D, G, H]
3559948a-8233-4b01-8c89-2694df301a11:[D, D, B, B, D, H, H, G, H, G]
3559948a-8233-4b01-8c89-2694df301a11:[D, D, B, B, D, H, H, G, G, G]
3559948a-8233-4b01-8c89-2694df301a11:[H, D, H, B, D, H, H, G, G, H]
3559948a-8233-4b01-8c89-2694df301a11:[H, D, G, G, D, B, B, G, B, H]
3559948a-8233-4b01-8c89-2694df301a11:[H, B, G, G, H, D, D, H, B, H]
3559948a-8233-4b01-8c89-2694df301a11:[H, D, H, G, D, D, H, H, G, G]
3559948a-8233-4b01-8c89-2694df301a11:[D, G, B, D, G, D, D, D, G, G]
3559948a-8233-4b01-8c89-2694df301a11:[B, D, D, G, D, G, D, H, D, B]
3559948a-8233-4b01-8c89-2694df301a11:[H, B, D, G, H, D, G, D, B, H]
3559948a-8233-4b01-8c89-2694df301a11:[B, H, D, D, G, H, D, G, D, G]
3559948a-8233-4b01-8c89-2694df301a11:[B, H, B, D, D, H, H, B, B, G]
3559948a-8233-4b01-8c89-2694df301a11:[G, D, G, D, D, G, B, G, H, H]
3559948a-8233-4b01-8c89-2694df301a11:[B, G, D, D, D, B, H, D, H, H]
3559948a-8233-4b01-8c89-2694df301a11:[G, D, H, G, D, B, G, D, B, B]
3559948a-8233-4b01-8c89-2694df301a11:[H, D, B, B, B, H, D, D, G, B]
3559948a-8233-4b01-8c89-2694df301a11:[D, H, D, G, D, H, D, D, B, H]
3559948a-8233-4b01-8c89-2694df301a11:[H, G, B, G, H, B, D, B, D, H]
3559948a-8233-4b01-8c89-2694df301a11:[H, D, B, H, G, B, G, H, G, B]
3559948a-8233-4b01-8c89-2694df301a11:[H, D, B, D, D, H, H, H, D, B]
3559948a-8233-4b01-8c89-2694df301a11:[D, G, G, G, D, D, H, H, D, G]
3559948a-8233-4b01-8c89-2694df301a11:[B, D, G, H, H, G, B, G, H, B]
3559948a-8233-4b01-8c89-2694df301a11:[B, D, B, D, H, G, G, G, H, B]
3559948a-8233-4b01-8c89-2694df301a11:[G, H, D, G, D, B, B, B, G, H]
3559948a-8233-4b01-8c89-2694df301a11:[D, H, D, B, D, G, D, G, D, G]
3559948a-8233-4b01-8c89-2694df301a11:[D, H, D, B, D, G, D, G, G, G]
3559948a-8233-4b01-8c89-2694df301a11:[H, D, B, H, H, D, D, H, H, H]
3559948a-8233-4b01-8c89-2694df301a11:[H, G, H, H, H, D, B, D, H, H]
3559948a-8233-4b01-8c89-2694df301a11:[B, D, H, G, H, B, B, D, G, B]
3559948a-8233-4b01-8c89-2694df301a11:[B, D, D, G, H, B, D, D, G, B]
3559948a-8233-4b01-8c89-2694df301a11:[D, G, B, B, G, D, D, D, G, G]
3559948a-8233-4b01-8c89-2694df301a11:[H, B, B, G, H, B, D, B, D, H]
3559948a-8233-4b01-8c89-2694df301a11:[B, D, B, H, D, H, H, H, G, G]
3559948a-8233-4b01-8c89-2694df301a11:[B, B, H, D, D, H, H, H, D, B]
3559948a-8233-4b01-8c89-2694df301a11:[B, D, G, B, D, D, G, D, G, G]
3559948a-8233-4b01-8c89-2694df301a11:[G, B, B, D, D, H, D, B, G, G]
3559948a-8233-4b01-8c89-2694df301a11:[H, B, D, D, D, G, D, D, H, H]
3559948a-8233-4b01-8c89-2694df301a11:[G, D, H, B, H, H, D, G, G, G]
3559948a-8233-4b01-8c89-2694df301a11:[H, D, B, D, D, H, H, D, D, B]
3559948a-8233-4b01-8c89-2694df301a11:[D, B, D, D, D, H, H, H, D, G]
3559948a-8233-4b01-8c89-2694df301a11:[H, D, G, D, D, D, D, B, D, H]
3559948a-8233-4b01-8c89-2694df301a11:[H, D, G, D, D, D, D, H, D, H]
3559948a-8233-4b01-8c89-2694df301a11:[B, D, B, G, H, H, G, G, H, B]
3559948a-8233-4b01-8c89-2694df301a11:[D, B, H, G, B, G, D, D, G, B]
3559948a-8233-4b01-8c89-2694df301a11:[D, D, H, B, H, G, B, G, G, G]
3559948a-8233-4b01-8c89-2694df301a11:[G, D, G, B, G, D, D, D, D, B]
3559948a-8233-4b01-8c89-2694df301a11:[B, D, D, B, G, B, D, D, G, H]
3559948a-8233-4b01-8c89-2694df301a11:[D, G, G, H, D, G, H, G, G, B]
3559948a-8233-4b01-8c89-2694df301a11:[H, G, B, D, D, G, G, H, G, G]
3559948a-8233-4b01-8c89-2694df301a11:[B, G, D, B, B, G, H, D, G, H]
3559948a-8233-4b01-8c89-2694df301a11:[D, B, D, D, D, G, D, D, H, H]
3559948a-8233-4b01-8c89-2694df301a11:[H, G, H, G, D, G, H, G, D, H]
3559948a-8233-4b01-8c89-2694df301a11:[B, G, H, G, B, D, D, B, G, G]
3559948a-8233-4b01-8c89-2694df301a11:[B, B, H, G, B, G, H, B, D, G]
3559948a-8233-4b01-8c89-2694df301a11:[B, B, H, G, B, G, D, D, G, G]
3559948a-8233-4b01-8c89-2694df301a11:[B, B, D, G, G, G, D, G, D, G]
3559948a-8233-4b01-8c89-2694df301a11:[B, D, D, G, G, G, H, G, G, G]
3559948a-8233-4b01-8c89-2694df301a11:[H, B, G, G, G, H, H, H, G, H]
3559948a-8233-4b01-8c89-2694df301a11:[D, G, B, B, D, G, G, G, B, H]
3559948a-8233-4b01-8c89-2694df301a11:[D, B, B, G, H, G, G, B, D, B]
3559948a-8233-4b01-8c89-2694df301a11:[B, G, B, B, D, G, G, D, G, H]
3559948a-8233-4b01-8c89-2694df301a11:[D, B, G, B, H, G, G, D, G, G]
3559948a-8233-4b01-8c89-2694df301a11:[D, G, B, G, B, G, G, B, H, H]
3559948a-8233-4b01-8c89-2694df301a11:[G, H, H, G, H, H, D, G, G, G]
3559948a-8233-4b01-8c89-2694df301a11:[G, B, G, G, H, G, D, G, D, G]
3559948a-8233-4b01-8c89-2694df301a11:[G, B, G, G, B, D, D, G, D, B]
3559948a-8233-4b01-8c89-2694df301a11:[B, G, B, B, D, G, G, G, D, H]
3559948a-8233-4b01-8c89-2694df301a11:[G, B, B, G, D, B, B, D, G, G]
3559948a-8233-4b01-8c89-2694df301a11:[D, B, G, G, B, D, B, B, D, B]
3559948a-8233-4b01-8c89-2694df301a11:[G, B, G, G, B, B, D, G, D, B]
3559948a-8233-4b01-8c89-2694df301a11:[G, B, G, G, H, G, B, G, G, B]
3559948a-8233-4b01-8c89-2694df301a11:[G, B, G, B, H, G, B, G, G, B]
